ID,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,gender,age,education,origin_country,current_country,current_country_years,prior_pbma_consumed,meat_consumption,pbma_consumption,family_support,family_consumption,status_symbol,environmentally_friendly,animal_welfare
1,6,2,4,7,2,4,3,1,5,6,3,3,Male,18-30,Undergraduate,Germany,Germany,24,Yes,Three to four times a week,Three to four times a week,strongly agree,strongly agree,strongly disagree,somewhat agree,somewhat agree
2,1,1,1,2,1,1,1,1,1,1,1,2,Male,18-30,Undergraduate,Germany,Germany,1,Yes,Five or more times a week,Less than once a week,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,neither agree nor disagree
3,3,3,4,6,3,4,5,1,3,3,3,3,Female,18-30,Postgraduate,Germany,Germany,23,Yes,Three to four times a week,Once or twice a week,neither agree nor disagree,strongly disagree,strongly disagree,strongly agree,strongly agree
4,3,1,5,4,1,1,3,1,1,1,4,1,Female,18-30,Undergraduate,Germany,Germany,24,Yes,Less than once a week,Less than once a week,somewhat agree,strongly disagree,strongly disagree,somewhat agree,strongly disagree
5,2,6,7,7,7,4,2,4,7,5,2,2,Female,18-30,Postgraduate,Germany,Germany,25,Yes,Less than once a week,Less than once a week,strongly agree,somewhat agree,strongly disagree,strongly agree,strongly agree
6,7,1,6,7,1,2,3,1,1,1,3,1,Female,18-30,Postgraduate,Germany,Portugal,2,Yes,Less than once a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,strongly agree,strongly agree
7,2,4,3,7,3,2,1,3,6,3,5,4,Male,18-30,Undergraduate,Germany,Germany,23,Yes,Once or twice a week,Less than once a week,somewhat agree,somewhat agree,neither agree nor disagree,strongly agree,neither agree nor disagree
8,6,1,2,7,2,1,1,6,4,2,6,7,Female,18-30,Postgraduate,China,Germany,2,Yes,Five or more times a week,Less than once a week,somewhat agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree
9,6,5,5,6,6,6,6,7,6,6,6,6,Female,18-30,Undergraduate,China,China,25,Yes,Five or more times a week,Once or twice a week,strongly agree,strongly agree,strongly disagree,strongly agree,strongly agree
10,1,2,1,2,1,1,1,1,2,1,1,1,Male,18-30,Postgraduate,China,China,25,No,Five or more times a week,Less than once a week,neither agree nor disagree,neither agree nor disagree,strongly disagree,somewhat agree,neither agree nor disagree
11,2,2,2,2,1,1,2,1,2,1,2,2,Female,18-30,Undergraduate,China,China,25,No,Five or more times a week,Less than once a week,neither agree nor disagree,somewhat disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree
12,4,6,3,5,3,5,3,3,6,3,3,3,Female,18-30,Postgraduate,China,Germany,3,No,Five or more times a week,Less than once a week,somewhat disagree,somewhat disagree,strongly disagree,somewhat agree,somewhat agree
13,4,3,3,7,3,2,1,2,2,2,2,2,Male,18-30,Postgraduate,Germany,Germany,27,Yes,Once or twice a week,Once or twice a week,somewhat disagree,somewhat disagree,neither agree nor disagree,strongly agree,strongly agree
